include,year,arxiv_date,company,family,name,version,parameters,doi,docs,card_repo
NA,2019,2019-10-29T00:00:00Z,Meta,BART,BART,Base,140M,10.48550/arXiv.1910.13461,https://huggingface.co/docs/transformers/en/model_doc/bart,https://github.com/facebookresearch/fairseq/tree/main/examples/bart#pre-trained-models
x,2019,2019-10-29T00:00:00Z,Meta,BART,BART,Large,400M,NA,NA,NA
NA,2019,2019-09-26T00:00:00Z,Google,BERT,ALBERT,Base,12M,10.48550/arXiv.1909.11942,https://huggingface.co/docs/transformers/en/model_doc/albert,https://github.com/google-research/ALBERT
NA,2019,2019-09-26T00:00:00Z,Google,BERT,ALBERT,Large,18M,NA,NA,NA
NA,2019,2019-09-26T00:00:00Z,Google,BERT,ALBERT,XLarge,60M,NA,NA,NA
x,2019,2019-09-26T00:00:00Z,Google,BERT,ALBERT,XXLarge,235M,NA,NA,NA
NA,2018,2018-10-11T00:00:00Z,Google,BERT,BERT,Base,110M,10.48550/arXiv.1810.04805,https://huggingface.co/docs/transformers/en/model_doc/bert,https://github.com/google-research/bert?tab=readme-ov-file#pre-trained-models
x,2018,2018-10-11T00:00:00Z,Google,BERT,BERT,Large,340M,NA,NA,NA
x,2020,2020-06-05T00:00:00Z,Other Company (Microsoft),BERT,DeBERTa,DeBERTa,1.5B,10.48550/arXiv.2006.03654,https://huggingface.co/docs/transformers/en/model_doc/deberta,https://github.com/microsoft/DeBERTa?tab=readme-ov-file#pre-trained-models
NA,2019,2019-07-26T00:00:00Z,Meta,BERT,RoBERTa,Base,125M,10.48550/arXiv.1907.11692,https://huggingface.co/docs/transformers/en/model_doc/roberta,https://github.com/facebookresearch/fairseq/tree/main/examples/roberta#pre-trained-models
NA,2019,2019-07-26T00:00:00Z,Meta,BERT,RoBERTa,Large,355M,NA,NA,NA
NA,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,560M,560M,10.48550/arXiv.2211.05100,https://huggingface.co/docs/transformers/en/model_doc/bloom,NA
NA,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,1.1B,1.1B,NA,NA,NA
NA,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,1.7B,1.7B,NA,NA,NA
NA,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,3B,3B,NA,NA,NA
NA,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,7.1B,7.1B,NA,NA,NA
x,2022,2022-11-09T00:00:00Z,Open Source/Academic,BLOOM,BLOOM,176B,176B,NA,NA,NA
x,2022,2022-03-29T00:00:00Z,Google,Chinchilla,Chinchilla,Predicted compute-optimal,70B,10.48550/arXiv.2203.15556,NA,NA
NA,2023,2023-03-14T00:00:00Z,Other Company (Anthropic),Claude,Claude 1,Claude 1,?,NA,https://www.anthropic.com/news/introducing-claude,NA
NA,2023,2023-03-14T00:00:00Z,Other Company (Anthropic),Claude,Claude 1,Claude 1 Instant,?,NA,NA,NA
